Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label
1587-FKLZB,1,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,Male,Yes,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes
6140-QNRQQ,1,United States,California,Santa Barbara,93103,"34.438581, -119.685368",34.438581,-119.685368,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No
4307-KTUMW,1,United States,California,Santa Barbara,93108,"34.457541, -119.631072",34.457541,-119.631072,Male,No,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes
5440-FLBQG,1,United States,California,Santa Barbara,93110,"34.437945, -119.77191",34.437945,-119.77191,Male,Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes
7470-MCQTK,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626000000004,-119.49877099999999,Female,No,Yes,No,13,No,No phone service,DSL,No,No,Yes
7488-MXJIV,1,United States,California,Armona,93202,"36.315979, -119.710852",36.315979,-119.710852,Female,No,No,No,4,Yes,Yes,Fiber optic,No,No,No
2027-FECZV,1,United States,California,Bodfish,93205,"35.523991, -118.400432",35.523990999999995,-118.40043200000001,Male,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes
2672-DZUOY,1,United States,California,Buttonwillow,93206,"35.451402, -119.488413",35.451402,-119.488413,Male,No,No,No,1,No,No phone service,DSL,No,No,No
3870-MQAMG,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458000000004,-118.591951,Female,No,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes
4800-CZMPC,1,United States,California,Delano,93215,"35.772244, -119.209689",35.772244,-119.20968899999998,Female,No,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No
7377-DMMRI,1,United States,California,Exeter,93221,"36.301689, -119.018233",36.301689,-119.01823300000001,Male,No,No,No,2,Yes,No,DSL,Yes,No,No
8949-JTMAY,1,United States,California,Mc Kittrick,93251,"35.38381, -119.730885",35.38381,-119.73088500000001,Female,No,No,No,29,Yes,Yes,Fiber optic,No,No,Yes
2774-LVQUS,1,United States,California,Maricopa,93252,"34.737031, -119.460557",34.737031,-119.46055700000001,Female,Yes,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes
3211-ILJTT,1,United States,California,Taft,93268,"35.184837, -119.402525",35.184837,-119.402525,Male,No,Yes,No,17,Yes,No,Fiber optic,No,No,No
4612-THJBS,1,United States,California,Terra Bella,93270,"35.939068, -119.043666",35.939068,-119.04366599999999,Female,Yes,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes
4094-NSEDU,1,United States,California,Tipton,93272,"36.047414, -119.344304",36.047414,-119.34430400000001,Female,Yes,No,No,21,Yes,Yes,Fiber optic,No,No,No
5103-MHMHY,1,United States,California,Los Osos,93402,"35.279984, -120.824288",35.279984000000006,-120.824288,Female,No,No,Yes,1,Yes,No,DSL,No,No,No
1846-XWOQN,1,United States,California,Bradley,93426,"35.842889, -121.004862",35.842889,-121.00486200000002,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No
0235-KGSLC,1,United States,California,Buellton,93427,"34.631362, -120.238218",34.631362,-120.23821799999999,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes
2884-GBPFB,1,United States,California,Morro Bay,93442,"35.369553, -120.763864",35.369553,-120.76386399999998,Female,No,Yes,No,35,Yes,No,Fiber optic,No,No,No
3757-NJYBX,1,United States,California,Nipomo,93444,"35.050345, -120.489599",35.050345,-120.489599,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes
5136-KCKGI,1,United States,California,Templeton,93465,"35.536115, -120.739231",35.536115,-120.739231,Female,No,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes
3722-WPXTK,1,United States,California,Benton,93512,"37.653947, -118.231443",37.653946999999995,-118.231443,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No
2929-ERCFZ,1,United States,California,Independence,93526,"36.869584, -118.189241",36.869584,-118.189241,Female,No,Yes,No,8,Yes,No,Fiber optic,No,No,Yes
7548-SEPYI,1,United States,California,Inyokern,93527,"36.041315, -118.188235",36.041315000000004,-118.188235,Female,No,No,No,5,Yes,No,Fiber optic,No,Yes,No
8835-VSDSE,1,United States,California,Johannesburg,93528,"35.363339, -117.637641",35.363339,-117.63764099999999,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No
1623-NLDOT,1,United States,California,Lancaster,93534,"34.727529, -118.153098",34.727529,-118.153098,Female,No,Yes,No,42,No,No phone service,DSL,No,Yes,No
9898-KZQDZ,1,United States,California,Lee Vining,93541,"37.890145, -119.184087",37.890145000000004,-119.184087,Female,Yes,Yes,No,40,Yes,Yes,Fiber optic,No,No,No
5236-PERKL,1,United States,California,Pearblossom,93553,"34.445239, -117.894868",34.445239,-117.89486799999999,Female,No,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes
7854-FOKSF,1,United States,California,Rosamond,93560,"34.903052, -118.411251",34.903052,-118.41125100000001,Male,No,No,No,1,No,No phone service,DSL,No,No,No
2519-FAKOD,1,United States,California,Tehachapi,93561,"35.073777, -118.652112",35.073777,-118.65211200000002,Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes
8263-JQAIK,1,United States,California,Palmdale,93591,"34.598221, -117.79593",34.598221,-117.79593,Male,Yes,No,No,2,No,No phone service,DSL,No,No,No
7089-IVVAZ,1,United States,California,Cantua Creek,93608,"36.488056, -120.407691",36.488056,-120.40769099999999,Female,No,No,No,8,Yes,Yes,Fiber optic,Yes,No,No
2205-YMZZJ,1,United States,California,Clovis,93612,"36.814539, -119.711868",36.814539,-119.711868,Male,Yes,No,No,7,Yes,Yes,Fiber optic,No,No,No
1254-IZEYF,1,United States,California,Cutler,93615,"36.497895, -119.285484",36.497895,-119.28548400000001,Female,Yes,No,No,31,Yes,Yes,Fiber optic,No,Yes,No
9492-TOKRI,1,United States,California,Dinuba,93618,"36.523619, -119.386868",36.523619000000004,-119.38686799999999,Female,No,No,No,18,Yes,Yes,Fiber optic,No,Yes,No
9221-OTIVJ,1,United States,California,Dunlap,93621,"36.789213, -119.140338",36.789213000000004,-119.14033799999999,Female,Yes,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes
3325-FUYCG,1,United States,California,Five Points,93624,"36.397745, -120.119911",36.397745,-120.11991100000002,Male,No,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,No
5908-QMGOE,1,United States,California,Fowler,93625,"36.625792, -119.672483",36.625792,-119.67248300000001,Male,Yes,No,No,15,Yes,Yes,Fiber optic,No,No,No
8481-YYXWG,1,United States,California,Hume,93628,"36.807595, -118.901544",36.807595,-118.901544,Female,No,No,No,5,Yes,No,Fiber optic,No,Yes,No
2609-IAICY,1,United States,California,North Fork,93643,"37.244307, -119.470256",37.244307,-119.470256,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
1740-CSDJP,1,United States,California,Oakhurst,93644,"37.648647, -119.231447",37.648647,-119.231447,Male,No,No,No,1,No,No phone service,DSL,No,No,No
2636-OHFMN,1,United States,California,Orosi,93647,"36.600185, -119.175655",36.600184999999996,-119.175655,Male,No,Yes,No,4,No,No phone service,DSL,No,Yes,No
1323-OOEPC,1,United States,California,Prather,93651,"37.007238, -119.505661",37.007238,-119.505661,Female,No,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No
0397-GZBBC,1,United States,California,South Dos Palos,93665,"36.959731, -120.653519",36.959731,-120.65351899999999,Male,Yes,Yes,No,59,Yes,Yes,Fiber optic,No,No,No
7641-EUYET,1,United States,California,Tranquillity,93668,"36.635661, -120.288644",36.635661,-120.28864399999999,Male,Yes,Yes,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes
9921-ZVRHG,1,United States,California,Traver,93673,"36.456091, -119.486225",36.456091,-119.486225,Female,No,No,No,14,Yes,Yes,Fiber optic,No,No,Yes
4701-MLJPN,1,United States,California,Fresno,93702,"36.739385, -119.753649",36.739385,-119.753649,Male,No,No,No,31,Yes,No,DSL,No,No,Yes
9206-GVPEQ,1,United States,California,Fresno,93706,"36.654614, -119.903674",36.654614,-119.903674,Male,No,Yes,No,13,No,No phone service,DSL,Yes,No,No
1596-BBVTG,1,United States,California,Fresno,93711,"36.833002, -119.82947",36.833002,-119.82947,Male,No,No,No,35,Yes,Yes,Fiber optic,No,No,No
8433-WXGNA,1,United States,California,Salinas,93906,"36.722898, -121.633648",36.722898,-121.633648,Male,No,No,No,2,Yes,No,Fiber optic,Yes,No,No
3707-GNWHM,1,United States,California,Carmel Valley,93924,"36.414611, -121.6386",36.414611,-121.6386,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
8922-LIEGH,1,United States,California,Jolon,93928,"35.930782, -121.189757",35.930782,-121.189757,Female,Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,No
8245-UMPYT,1,United States,California,Lockwood,93932,"35.989792, -121.055933",35.989792,-121.05593300000001,Female,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No
5186-SAMNZ,1,United States,California,Marina,93933,"36.689582, -121.758398",36.689582,-121.758398,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No
5373-SFODM,1,United States,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,Male,Yes,Yes,No,36,Yes,Yes,Fiber optic,No,No,No
5766-ZJYBB,1,United States,California,Brisbane,94005,"37.684694, -122.40712",37.684694,-122.40711999999999,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
8931-GJJIQ,1,United States,California,Burlingame,94010,"37.57028, -122.365778",37.57028,-122.365778,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No
4277-PVRAN,1,United States,California,Daly City,94014,"37.691561, -122.445202",37.691561,-122.445202,Female,No,No,No,8,Yes,No,Fiber optic,No,No,No
0022-TCJCI,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131000000001,Male,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes
0203-HHYIJ,1,United States,California,Atherton,94027,"37.454924, -122.203168",37.454924,-122.20316799999999,Male,No,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service
0952-KMEEH,1,United States,California,Mountain View,94043,"37.419725, -122.062947",37.419725,-122.062947,Male,No,No,No,13,Yes,Yes,Fiber optic,Yes,No,No
8178-EYZUO,1,United States,California,San Francisco,94105,"37.789168, -122.395009",37.789168,-122.395009,Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No
5130-IEKQT,1,United States,California,San Francisco,94109,"37.794487, -122.42227",37.794487,-122.42227,Male,Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes
3230-WYKIR,1,United States,California,San Francisco,94110,"37.750021, -122.415201",37.750021000000004,-122.415201,Male,No,No,No,18,Yes,Yes,DSL,No,No,Yes
0407-BDJKB,1,United States,California,San Francisco,94114,"37.758085, -122.434801",37.758084999999994,-122.43480100000001,Male,No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes
9600-UDOPK,1,United States,California,San Francisco,94117,"37.770533, -122.445121",37.770533,-122.445121,Male,No,Yes,No,30,Yes,Yes,Fiber optic,No,No,No
4074-SJFFA,1,United States,California,San Francisco,94122,"37.760412, -122.484966",37.760412,-122.48496599999999,Female,No,No,No,1,Yes,No,DSL,No,No,No
3269-ATYWD,1,United States,California,San Francisco,94123,"37.800254, -122.436975",37.800253999999995,-122.436975,Male,Yes,No,No,39,Yes,Yes,Fiber optic,No,No,No
4910-GMJOT,1,United States,California,San Francisco,94129,"37.797526, -122.464531",37.797526,-122.46453100000001,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
0354-WYROK,1,United States,California,San Francisco,94130,"37.820894, -122.369725",37.820894,-122.369725,Female,Yes,Yes,No,31,Yes,No,Fiber optic,No,No,Yes
7576-OYWBN,1,United States,California,San Mateo,94402,"37.556634, -122.317723",37.556634,-122.317723,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No
5539-TMZLF,1,United States,California,Concord,94520,"38.013825, -122.039144",38.013825,-122.039144,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No
4323-SADQS,1,United States,California,Concord,94521,"37.971421, -121.971504",37.971421,-121.97150400000001,Male,No,Yes,Yes,7,No,No phone service,DSL,Yes,No,No
4446-BZKHU,1,United States,California,Pleasant Hill,94523,"37.95338, -122.076886",37.953379999999996,-122.07688600000002,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes
5202-IVJNU,1,United States,California,Crockett,94525,"38.049292, -122.228415",38.049292,-122.22841499999998,Female,No,No,Yes,39,No,No phone service,DSL,No,No,Yes
5976-JCJRH,1,United States,California,Danville,94526,"37.815459, -121.977203",37.815459000000004,-121.977203,Male,No,Yes,No,10,Yes,No,Fiber optic,No,No,No
0137-OCGAB,1,United States,California,Fairfield,94533,"38.287136, -122.02711",38.287136,-122.02711000000001,Female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No
3351-NQLDI,1,United States,California,Travis Afb,94535,"38.265899, -121.939461",38.265899,-121.93946100000001,Female,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,No
7593-JNWRU,1,United States,California,Fremont,94538,"37.505768, -121.962472",37.505767999999996,-121.96247199999999,Male,No,Yes,Yes,6,Yes,No,DSL,No,No,No
4588-YBNIB,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.516791,-121.89911699999999,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
3336-JORSO,1,United States,California,Hayward,94542,"37.656695, -122.048361",37.656695,-122.04836100000001,Female,Yes,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes
5028-GZLDO,1,United States,California,Moraga,94556,"37.827946, -122.107185",37.827946000000004,-122.10718500000002,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No
6861-XWTWQ,1,United States,California,Napa,94559,"38.232389, -122.324944",38.232389000000005,-122.32494399999999,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes
6877-TJMBR,1,United States,California,Orinda,94563,"37.873916, -122.20522",37.873915999999994,-122.20522,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No
6769-DCQLI,1,United States,California,Pope Valley,94567,"38.672708, -122.403219",38.672708,-122.40321899999999,Male,No,No,No,52,Yes,No,Fiber optic,No,Yes,Yes
2433-KMEAS,1,United States,California,Dublin,94568,"37.713926, -121.928425",37.713926,-121.928425,Male,No,No,No,22,Yes,Yes,DSL,Yes,No,No
2195-ZRVAX,1,United States,California,Rodeo,94572,"38.027218, -122.23463",38.027218,-122.23463000000001,Female,No,Yes,No,47,Yes,No,Fiber optic,No,No,Yes
3550-SAHFP,1,United States,California,Saint Helena,94574,"38.581354, -122.296283",38.581354,-122.296283,Female,No,No,No,33,Yes,Yes,Fiber optic,No,No,No
2011-TRQYE,1,United States,California,Deer Park,94576,"38.554383, -122.474773",38.554383,-122.474773,Male,No,No,No,18,No,No phone service,DSL,No,Yes,Yes
4873-ILOLJ,1,United States,California,Sunol,94586,"37.587494, -121.862856",37.587494,-121.86285600000001,Male,No,No,No,24,Yes,No,Fiber optic,No,No,No
2725-KXXWT,1,United States,California,Vallejo,94589,"38.161321, -122.271588",38.161321,-122.271588,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No
9565-DJPIB,1,United States,California,Vallejo,94590,"38.104705, -122.247387",38.104704999999996,-122.24738700000002,Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No
8348-HFYIV,1,United States,California,Oakland,94601,"37.776523, -122.219268",37.776523,-122.219268,Male,No,No,No,2,No,No phone service,DSL,No,No,Yes
6849-WLEYG,1,United States,California,Emeryville,94608,"37.83726, -122.287648",37.83726,-122.287648,Male,No,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service
4659-NZRUF,1,United States,California,Oakland,94609,"37.834341, -122.26437",37.834340999999995,-122.26437,Female,No,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No
8429-XIBUM,1,United States,California,Oakland,94618,"37.84551, -122.235181",37.84551,-122.23518100000001,Male,No,No,No,22,Yes,Yes,Fiber optic,Yes,No,No
2608-BHKFN,1,United States,California,Berkeley,94703,"37.863843, -122.275684",37.863843,-122.27568400000001,Female,No,No,No,4,Yes,No,Fiber optic,No,No,No
7341-LXCAF,1,United States,California,Berkeley,94705,"37.858898, -122.240512",37.858897999999996,-122.24051200000001,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No
9462-MJUAW,1,United States,California,Berkeley,94708,"37.897743, -122.263124",37.897743,-122.263124,Male,No,No,No,4,Yes,Yes,DSL,No,No,No
8128-YVJRG,1,United States,California,Berkeley,94709,"37.878554, -122.26609",37.878554,-122.26608999999999,Female,No,No,No,7,Yes,Yes,Fiber optic,Yes,No,No
4283-FUTGF,1,United States,California,El Sobrante,94803,"37.963995, -122.288296",37.963995000000004,-122.288296,Male,Yes,No,No,19,Yes,Yes,Fiber optic,No,No,Yes
1569-TTNYJ,1,United States,California,Richmond,94805,"37.941456, -122.320968",37.941456,-122.320968,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No
2397-BRLOM,1,United States,California,San Rafael,94901,"37.972662, -122.491452",37.972662,-122.491452,Male,Yes,Yes,No,8,Yes,No,Fiber optic,No,No,No
4749-VFKVB,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.099323,-122.945723,Female,No,No,No,1,Yes,Yes,DSL,No,No,No
7598-UAASY,1,United States,California,Marshall,94940,"38.129308, -122.834815",38.129308,-122.83481499999999,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,Yes
7938-OUHIO,1,United States,California,Mill Valley,94941,"37.901371, -122.572024",37.901371000000005,-122.572024,Male,No,No,No,3,Yes,No,Fiber optic,No,No,Yes
8510-AWCXC,1,United States,California,Novato,94945,"38.135897, -122.563683",38.135897,-122.56368300000001,Female,Yes,No,No,13,Yes,Yes,Fiber optic,Yes,No,No
0431-APWVY,1,United States,California,Novato,94949,"38.067204, -122.524004",38.067204,-122.524004,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No
3426-NIYYL,1,United States,California,Sausalito,94965,"37.848641, -122.515692",37.848641,-122.51569199999999,Male,No,No,No,15,Yes,Yes,DSL,No,No,No
8225-BTJAU,1,United States,California,Stinson Beach,94970,"37.921137, -122.657562",37.921137,-122.65756200000001,Male,Yes,No,No,10,Yes,No,Fiber optic,No,No,No
3387-VATUS,1,United States,California,Aromas,95004,"36.878364, -121.629781",36.878364000000005,-121.62978100000001,Male,No,No,No,5,Yes,Yes,Fiber optic,No,No,No
1143-NMNQJ,1,United States,California,Boulder Creek,95006,"37.171727, -122.142961",37.171727000000004,-122.14296100000001,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No
0415-MOSGF,1,United States,California,Los Gatos,95030,"37.222842, -121.988727",37.222842,-121.988727,Female,No,No,No,1,Yes,No,DSL,No,No,No
1724-BQUHA,1,United States,California,Los Gatos,95032,"37.233034, -121.947427",37.233034,-121.947427,Male,Yes,No,No,5,Yes,No,Fiber optic,No,No,No
4826-XTSOH,1,United States,California,Moss Landing,95039,"36.863303, -121.781632",36.863303,-121.781632,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No
2495-INZWQ,1,United States,California,San Juan Bautista,95045,"36.810568, -121.503022",36.810567999999996,-121.503022,Male,No,No,No,4,No,No phone service,DSL,No,No,No
4139-SUGLD,1,United States,California,Santa Clara,95054,"37.393554, -121.965114",37.393553999999995,-121.96511399999999,Male,No,Yes,Yes,31,No,No phone service,DSL,Yes,No,No
6857-VWJDT,1,United States,California,Santa Cruz,95060,"36.993451, -122.098858",36.993451,-122.098858,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No
5624-BQSSA,1,United States,California,Santa Cruz,95065,"37.031404, -121.981865",37.031403999999995,-121.98186499999998,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
2408-WITXK,1,United States,California,San Jose,95110,"37.34667, -121.910019",37.34667,-121.91001899999999,Female,Yes,No,No,10,No,No phone service,DSL,No,No,No
5577-OTWWW,1,United States,California,San Jose,95120,"37.186141, -121.843554",37.186141,-121.843554,Female,No,No,No,15,Yes,No,No,No internet service,No internet service,No internet service
6100-QQHEB,1,United States,California,San Jose,95121,"37.304681, -121.809955",37.304681,-121.809955,Male,No,Yes,No,17,Yes,Yes,Fiber optic,No,No,No
2634-HCZGT,1,United States,California,San Jose,95126,"37.327069, -121.916819",37.327069,-121.91681899999999,Male,Yes,Yes,No,53,Yes,Yes,DSL,Yes,No,No
7503-QQRVF,1,United States,California,San Jose,95127,"37.375156, -121.795867",37.375156,-121.79586699999999,Male,Yes,Yes,No,16,Yes,No,Fiber optic,No,Yes,No
2691-NZETQ,1,United States,California,San Jose,95130,"37.277592, -121.986477",37.277592,-121.98647700000001,Male,No,No,No,9,Yes,Yes,Fiber optic,No,No,No
4404-HIBDJ,1,United States,California,San Jose,95131,"37.387027, -121.897775",37.387027,-121.897775,Female,No,No,No,25,Yes,No,DSL,Yes,Yes,Yes
7295-JOMMD,1,United States,California,San Jose,95135,"37.28682, -121.723877",37.28682,-121.723877,Female,No,No,No,4,Yes,No,Fiber optic,No,No,Yes
5013-SBUIH,1,United States,California,Stockton,95202,"37.959706, -121.287669",37.959706,-121.287669,Female,No,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,No
0709-TVGUR,1,United States,California,Stockton,95207,"38.002125, -121.324979",38.002125,-121.324979,Female,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No
6023-YEBUP,1,United States,California,Stockton,95210,"38.033219, -121.297433",38.033219,-121.29743300000001,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,Yes
7209-JCUDS,1,United States,California,Stockton,95212,"38.049457, -121.21653",38.049457000000004,-121.21653,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes
3001-CBHLQ,1,United States,California,Angels Camp,95222,"38.071327, -120.632221",38.071327000000004,-120.632221,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes
6158-DWPZT,1,United States,California,Avery,95224,"38.208336, -120.339938",38.208335999999996,-120.33993799999999,Male,No,Yes,No,9,No,No phone service,DSL,No,No,No
3763-GCZHZ,1,United States,California,Hathaway Pines,95233,"38.184914, -120.364085",38.184914,-120.364085,Male,No,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No
0772-GYEQQ,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.123544,-121.15907800000001,Male,No,No,No,3,Yes,No,Fiber optic,No,No,Yes
4831-EOBFE,1,United States,California,Mountain Ranch,95246,"38.264262, -120.515133",38.264262,-120.515133,Male,No,Yes,No,29,Yes,No,Fiber optic,Yes,No,No
4102-OQUPX,1,United States,California,Sheep Ranch,95250,"38.244806, -120.417301",38.244806,-120.417301,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No
9170-GYZJC,1,United States,California,Vallecito,95251,"38.055562, -120.456298",38.055562,-120.456298,Female,No,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes
3999-QGRJH,1,United States,California,Ballico,95303,"37.4695, -120.672724",37.4695,-120.672724,Male,Yes,No,No,8,Yes,No,Fiber optic,No,No,No
2454-RPBRZ,1,United States,California,Catheys Valley,95306,"37.394411, -120.127262",37.394411,-120.12726200000002,Female,Yes,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes
2002-MZHWP,1,United States,California,Delhi,95315,"37.422961, -120.765493",37.422961,-120.76549299999999,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service
2265-CYWIV,1,United States,California,Hickman,95323,"37.605926, -120.69955",37.605926000000004,-120.69955,Female,Yes,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No
2004-OCQXK,1,United States,California,Merced,95348,"37.40122, -120.514191",37.40122,-120.514191,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No
5027-QPKTE,1,United States,California,Modesto,95350,"37.671806, -121.007575",37.671806,-121.007575,Male,No,Yes,No,7,Yes,No,Fiber optic,No,No,No
2672-HUYVI,1,United States,California,Newman,95360,"37.343846, -121.039391",37.343846,-121.039391,Female,No,No,No,6,Yes,No,Fiber optic,No,No,No
7508-MYBOG,1,United States,California,Patterson,95363,"37.410236, -121.320337",37.410236,-121.32033700000001,Male,No,Yes,No,14,Yes,Yes,Fiber optic,No,No,No
0148-DCDOS,1,United States,California,Planada,95365,"37.329725, -120.306399",37.329725,-120.306399,Male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No
9992-RRAMN,1,United States,California,Riverbank,95367,"37.734971, -120.954271",37.734971,-120.95427099999999,Male,No,Yes,No,22,Yes,Yes,Fiber optic,No,No,No
0310-MVLET,1,United States,California,Snelling,95369,"37.521708, -120.426843",37.521708000000004,-120.42684299999999,Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No
4550-VBOFE,1,United States,California,Soulsbyville,95372,"37.990574, -120.261821",37.990574,-120.261821,Male,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes
5696-QURRL,1,United States,California,Waterford,95386,"37.669516, -120.626964",37.669515999999994,-120.62696399999999,Male,No,No,No,1,Yes,No,DSL,No,No,No
7409-KIUTL,1,United States,California,Westley,95387,"37.546007, -121.28257",37.546007,-121.28256999999999,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No
1732-VHUBQ,1,United States,California,Yosemite National Park,95389,"37.704267, -119.607001",37.704267,-119.607001,Female,Yes,Yes,No,47,Yes,No,Fiber optic,No,No,No
0495-RVCBF,1,United States,California,Santa Rosa,95401,"38.460517, -122.790335",38.460516999999996,-122.79033500000001,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No
7854-EDSSA,1,United States,California,Santa Rosa,95404,"38.526941, -122.709096",38.526941,-122.709096,Male,No,No,No,22,Yes,Yes,DSL,Yes,Yes,No
8869-TORSS,1,United States,California,Santa Rosa,95405,"38.439696, -122.668817",38.439696000000005,-122.66881699999999,Female,No,No,No,48,Yes,No,DSL,Yes,No,Yes
0679-IDSTG,1,United States,California,Branscomb,95417,"39.710591, -123.682799",39.710591,-123.682799,Female,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No
2115-BFTIW,1,United States,California,Clearlake Oaks,95423,"39.07116, -122.598542",39.07116,-122.598542,Male,No,No,No,25,Yes,No,Fiber optic,No,No,No
0611-DFXKO,1,United States,California,Comptche,95427,"39.239818, -123.565432",39.239818,-123.565432,Male,No,Yes,No,20,Yes,No,Fiber optic,No,No,No
7780-OTDSO,1,United States,California,Covelo,95428,"39.83307, -123.178765",39.83307,-123.17876499999998,Male,No,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No
9747-DDZOS,1,United States,California,Eldridge,95431,"38.348884, -122.51699",38.348884000000005,-122.51698999999999,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes
0564-JJHGS,1,United States,California,Guerneville,95446,"38.52576, -123.013347",38.52576,-123.013347,Male,No,No,No,9,Yes,Yes,Fiber optic,No,No,No
3348-CFRNX,1,United States,California,Healdsburg,95448,"38.618347, -122.908422",38.618347,-122.908422,Female,No,Yes,No,28,Yes,No,Fiber optic,Yes,No,No
1428-GTBJJ,1,United States,California,Jenner,95450,"38.505995, -123.187019",38.505995,-123.18701899999999,Male,No,No,No,11,Yes,No,Fiber optic,No,Yes,No
8802-UNOJF,1,United States,California,Philo,95466,"39.094102, -123.500853",39.094102,-123.500853,Male,Yes,No,No,12,Yes,No,Fiber optic,No,Yes,Yes
